date_id,date,day,month,year
1,2024-10-01,1,10,2024
2,2024-10-02,2,10,2024
3,2024-10-03,3,10,2024
4,2024-10-04,4,10,2024
5,2024-10-05,5,10,2024
6,2024-10-06,6,10,2024
7,2024-10-07,7,10,2024
8,2024-10-08,8,10,2024
9,2024-10-09,9,10,2024
10,2024-10-10,10,10,2024
11,2024-10-11,11,10,2024
12,2024-10-12,12,10,2024
13,2024-10-13,13,10,2024
14,2024-10-14,14,10,2024
15,2024-10-15,15,10,2024
16,2024-10-16,16,10,2024
17,2024-10-17,17,10,2024
18,2024-10-18,18,10,2024
19,2024-10-19,19,10,2024
20,2024-10-20,20,10,2024
21,2024-10-21,21,10,2024
22,2024-10-22,22,10,2024
23,2024-10-23,23,10,2024
24,2024-10-24,24,10,2024
25,2024-10-25,25,10,2024
26,2024-10-26,26,10,2024
27,2024-10-27,27,10,2024
28,2024-10-28,28,10,2024
29,2024-10-29,29,10,2024
30,2024-10-30,30,10,2024
